time,state,new_state,total_cost_opt
10,"[10, 15, 20]","[10, 15, 20]",-3013.556618020795
10,"[10, 20, 0]","[20, 20, 10]",346.48173322407587
10,"[10, 20, 5]","[10, 20, 15]",-1277.324737033547
10,"[10, 20, 10]","[10, 20, 15]",-1278.5144584729853
10,"[10, 20, 15]","[10, 20, 15]",-1279.7041799124236
10,"[10, 20, 20]","[10, 20, 20]",-3013.556618020795
10,"[15, 0, 0]","[20, 10, 10]",347.6714546635141
10,"[15, 0, 5]","[15, 10, 15]",-1377.5293027580833
10,"[15, 0, 10]","[15, 10, 15]",-1378.7190241975218
10,"[15, 0, 15]","[15, 10, 15]",-1379.90874563696
10,"[15, 0, 20]","[15, 5, 20]",-1381.0984670763983
10,"[15, 5, 0]","[20, 15, 10]",347.6714546635141
10,"[15, 5, 5]","[15, 10, 15]",-1378.7190241975218
10,"[15, 5, 10]","[15, 10, 15]",-1379.90874563696
10,"[15, 5, 15]","[15, 10, 15]",-1381.0984670763983
10,"[15, 5, 20]","[15, 5, 20]",-1382.2881885158365
10,"[15, 10, 0]","[20, 20, 10]",347.6714546635141
10,"[15, 10, 5]","[15, 10, 15]",-1379.90874563696
10,"[15, 10, 10]","[15, 10, 15]",-1381.0984670763983
10,"[15, 10, 15]","[15, 10, 15]",-1382.2881885158365
10,"[15, 10, 20]","[15, 10, 20]",-3116.2881885158367
10,"[15, 15, 0]","[20, 20, 10]",346.48173322407587
10,"[15, 15, 5]","[15, 15, 15]",-1379.90874563696
10,"[15, 15, 10]","[15, 15, 15]",-1381.0984670763983
10,"[15, 15, 15]","[15, 15, 15]",-1382.2881885158365
10,"[15, 15, 20]","[15, 15, 20]",-3116.2881885158367
10,"[15, 20, 0]","[20, 20, 10]",345.29201178463757
10,"[15, 20, 5]","[15, 20, 15]",-1379.90874563696
10,"[15, 20, 10]","[15, 20, 15]",-1381.0984670763983
10,"[15, 20, 15]","[15, 20, 15]",-1382.2881885158365
10,"[15, 20, 20]","[15, 20, 20]",-3116.2881885158367
10,"[20, 0, 0]","[20, 10, 10]",346.48173322407587
10,"[20, 0, 5]","[20, 10, 15]",-1387.518266775924
10,"[20, 0, 10]","[20, 10, 15]",-1388.7079882153625
10,"[20, 0, 15]","[20, 10, 15]",-1389.8977096548008
10,"[20, 0, 20]","[20, 5, 20]",-1391.087431094239
10,"[20, 5, 0]","[20, 15, 10]",346.48173322407587
10,"[20, 5, 5]","[20, 10, 15]",-1388.7079882153625
10,"[20, 5, 10]","[20, 10, 15]",-1389.8977096548008
10,"[20, 5, 15]","[20, 10, 15]",-1391.087431094239
10,"[20, 5, 20]","[20, 5, 20]",-1392.2771525336773
10,"[20, 10, 0]","[20, 20, 10]",346.48173322407587
10,"[20, 10, 5]","[20, 10, 15]",-1389.8977096548008
10,"[20, 10, 10]","[20, 10, 15]",-1391.087431094239
10,"[20, 10, 15]","[20, 10, 15]",-1392.2771525336773
10,"[20, 10, 20]","[20, 10, 20]",-3126.2771525336775
10,"[20, 15, 0]","[20, 20, 10]",345.29201178463757
10,"[20, 15, 5]","[20, 15, 15]",-1389.8977096548008
10,"[20, 15, 10]","[20, 15, 15]",-1391.087431094239
10,"[20, 15, 15]","[20, 15, 15]",-1392.2771525336773
10,"[20, 15, 20]","[20, 15, 20]",-3126.2771525336775
10,"[20, 20, 0]","[20, 20, 10]",344.10229034519926
10,"[20, 20, 5]","[20, 20, 15]",-1389.8977096548008
10,"[20, 20, 10]","[20, 20, 15]",-1391.087431094239
10,"[20, 20, 15]","[20, 20, 15]",-1392.2771525336773
10,"[20, 20, 20]","[20, 20, 20]",-3126.2771525336775
11,"[0, 0, 0]","[0, 5, 10]",2423.715586162183
11,"[0, 0, 5]","[10, 10, 0]",2331.166306550821
11,"[0, 0, 10]","[10, 10, 5]",2228.5822979474087
11,"[0, 0, 15]","[0, 5, 10]",669.6461281780811
11,"[0, 0, 20]","[0, 0, 15]",659.7589610776586
11,"[0, 5, 0]","[10, 0, 10]",2228.4347360557804
11,"[0, 5, 5]","[0, 0, 15]",679.8284190617605
11,"[0, 5, 10]","[0, 0, 15]",669.7936900697093
11,"[0, 5, 15]","[10, 0, 10]",474.36527807167806
11,"[0, 5, 20]","[0, 0, 15]",-1074.2410389223414
11,"[0, 10, 0]","[0, 5, 10]",679.6808571701323
11,"[0, 10, 5]","[10, 5, 0]",577.0968485667194
11,"[0, 10, 10]","[10, 5, 5]",474.51283996330665
11,"[0, 10, 15]","[0, 5, 10]",-1074.3886008139698
11,"[0, 10, 20]","[0, 5, 15]",-2808.2410389223414
11,"[0, 15, 0]","[0, 10, 10]",679.6808571701323
11,"[0, 15, 5]","[10, 10, 0]",577.0968485667194
11,"[0, 15, 10]","[10, 10, 5]",474.51283996330665
11,"[0, 15, 15]","[0, 10, 10]",-1074.3886008139698
11,"[0, 15, 20]","[0, 10, 15]",-2808.2410389223414
11,"[0, 20, 0]","[0, 15, 10]",679.6808571701323
11,"[0, 20, 5]","[10, 15, 0]",577.0968485667194
11,"[0, 20, 10]","[10, 15, 5]",474.51283996330665
11,"[0, 20, 15]","[0, 15, 10]",-1074.3886008139698
11,"[0, 20, 20]","[0, 15, 15]",-2808.2410389223414
11,"[5, 0, 0]","[5, 5, 10]",2320.984015667142
11,"[5, 0, 5]","[10, 10, 0]",2321.1315775587705
11,"[5, 0, 10]","[15, 10, 5]",2125.850727452367
11,"[5, 0, 15]","[5, 5, 10]",566.9145576830399
11,"[5, 0, 20]","[5, 0, 15]",557.1749524742459
11,"[5, 5, 0]","[15, 0, 10]",2125.850727452367
11,"[5, 5, 5]","[5, 0, 15]",577.2444104583478
11,"[5, 5, 10]","[5, 0, 15]",567.2096814662966
11,"[5, 5, 15]","[15, 0, 10]",371.78126946826535
11,"[5, 5, 20]","[5, 0, 15]",-1176.8250475257541
11,"[5, 10, 0]","[5, 5, 10]",576.9492866750911
11,"[5, 10, 5]","[10, 5, 0]",567.0621195746685
11,"[5, 10, 10]","[15, 5, 5]",371.78126946826535
11,"[5, 10, 15]","[5, 5, 10]",-1177.1201713090109
11,"[5, 10, 20]","[5, 5, 15]",-2910.825047525754
11,"[5, 15, 0]","[5, 10, 10]",576.9492866750911
11,"[5, 15, 5]","[10, 10, 0]",567.0621195746685
11,"[5, 15, 10]","[15, 10, 5]",371.78126946826535
11,"[5, 15, 15]","[5, 10, 10]",-1177.1201713090109
11,"[5, 15, 20]","[5, 10, 15]",-2910.825047525754
11,"[5, 20, 0]","[5, 15, 10]",576.9492866750911
11,"[5, 20, 5]","[10, 15, 0]",567.0621195746685
11,"[5, 20, 10]","[15, 15, 5]",371.78126946826535
11,"[5, 20, 15]","[5, 15, 10]",-1177.1201713090109
11,"[5, 20, 20]","[5, 15, 15]",-2910.825047525754
11,"[10, 0, 0]","[10, 5, 10]",2218.4000070637294
11,"[10, 0, 5]","[10, 10, 0]",2311.0968485667195
11,"[10, 0, 10]","[20, 10, 5]",2115.8617634345264
11,"[10, 0, 15]","[10, 5, 10]",464.3305490796271
11,"[10, 0, 20]","[10, 0, 15]",454.4433819792048
